"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MF";"MOUSER";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"R24";"3.3k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R25";"2k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"P2.00KLCT-ND";"Panasonic";"";"ERJ-2RKF2001X";"";"";"";
"R26";"2k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"P2.00KLCT-ND";"Panasonic";"";"ERJ-2RKF2001X";"";"";"";
"R27";"2k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"P2.00KLCT-ND";"Panasonic";"";"ERJ-2RKF2001X";"";"";"";
"R28";"1k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R29";"2k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"P2.00KLCT-ND";"Panasonic";"";"ERJ-2RKF2001X";"";"";"";
"R30";"2k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"P2.00KLCT-ND";"Panasonic";"";"ERJ-2RKF2001X";"";"";"";
"R31";"100k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";"";"";
"R32";"22";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R33";"22";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R34";"442k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"311-442KLRCT-ND";"Yageo";"";"RC0402FR-07442KL";"";"";"";
"R35";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R36";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R37";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R38";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R39";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R40";"DNP";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"P2.00KLCT-ND";"Panasonic";"";"ERJ-2RKF2001X";"";"";"";
"R41";"DNP";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R42";"DNP";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R43";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R44";"0";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R45";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R46";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R47";"22";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R48";"DNP";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R49";"3.3k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R50";"2k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"P2.00KLCT-ND";"Panasonic";"";"ERJ-2RKF2001X";"";"";"";
"R51";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R52";"2k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"P2.00KLCT-ND";"Panasonic";"";"ERJ-2RKF2001X";"";"";"";
"R53";"1k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R54";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R55";"100k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"311-100KLRCT-ND";"Yageo";"";"RC0402FR-07100KL";"";"";"";
"R56";"150";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R57";"0";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R58";"0";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R59";"DNP";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R60";"DNP";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R61";"0";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"R62";"DNP";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"RED";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"160-1447-1-ND";"Lite-On";"";"LTST-C191KRKT";"";"";"";
"RIGHT";"TACTILEGBA_SP";"TACTILEGBA_SP";"GBA_SP_TACT";"";"";"ALPS";"688-SKRRAA";"SKRRAAE010";"";"";"";
"RTHERM";"10k";"R-US_0402_REAL";"0402_REAL";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"SCREEN1";"DNP";"SPI_SCREEN";"SPI_SCREEN";"";"";"";"";"";"";"";"";
"SELECT";"TACTILE";"TACTILE";"TL3315";"";"EG4621CT-ND";"E-switch";"";"TL3315NF160Q";"";"";"";
"SPKR";"DNP";"GBA-SPKR";"GBA-SPKR";"";"";"";"";"";"";"";"";
"START";"TACTILE";"TACTILE";"TL3315";"";"EG4621CT-ND";"E-switch";"";"TL3315NF160Q";"";"";"";
"SV1";"DNP";"FE06-2";"FE06-2";"FEMALE HEADER";"";"";"";"";"unknown";"unknown";"";
"SW_L";"DNP";"GBA-SHOULDER-SW";"GBA-SHOULDER-SW";"";"";"";"";"";"";"";"";
"SW_R";"DNP";"GBA-SHOULDER-SW";"GBA-SHOULDER-SW";"";"";"";"";"";"";"";"";
"THERM";"DNP";"DF13-2THIN";"DF13-2_THIN";"";"";"";"";"";"";"";"";
"TP1";"TPTP06R";"TPTP06R";"TP06R";"Test pad";"";"";"";"";"";"";"";
"TP2";"TPTP06R";"TPTP06R";"TP06R";"Test pad";"";"";"";"";"";"";"";
"TP3";"TPTP06R";"TPTP06R";"TP06R";"Test pad";"";"";"";"";"";"";"";
"U$1";"CSS-1210";"CSS-1210";"CSS-1210";"";"";"Nidec Copal Electronics";"";"CSS-1210TB";"";"";"";
"U$2";"DNP";"GBA-POT";"GBA-POT";"";"";"";"";"";"";"";"";
"U1";"TPS61230";"TPS61230";"VSON10";"";"296-37761-1-ND";"TI";"";"TPS61230DRCR";"";"";"";
"U2";"MCP73871";"MCP73871";"QFN20";"";"MCP73871-2AAI/ML-ND";"Microchip";"";"MCP73871-2AAI/ML";"";"";"";
"U4";"TAS2521";"TAS2521";"QFN24";"";"296-35781-1-ND";"Texas Instruments";"";"TAS2521IRGET";"";"";"";
"U5";"PIC18F25K80";"PIC18F25K80";"QFN-S_28";"";"PIC18F25K80-I/MM-ND";"Microchip";"";"PIC18F25K80-I/MM";"";"";"";
"U6";"SN74CBT3257C";"SN74CBT3257C";"VQFN16";"";"296-19212-1-ND";"Texas Instruments";"";"SN74CBT3257CRGYR";"";"";"";
"U7";"TLV62568";"TLV62568";"SOT-563";"";"296-46649-1-ND";"Texas Instruments";"";"TLV62568DRLT";"";"";"";
"U8";"MAX17040";"MAX17040";"TDFN-2X3";"";"";"Maxim Semiconductor";"";"MAX17043";"";"";"";
"UP";"TACTILEGBA_SP";"TACTILEGBA_SP";"GBA_SP_TACT";"";"";"ALPS";"688-SKRRAA";"SKRRAAE010";"";"";"";
"USB_PAD";"DNP";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";
"USB_PAD1";"DNP";"1,6/0,8";"1,6/0,8";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";
"X";"DNP";"TACTILEGBA_SP";"GBA_SP_TACT";"";"";"";"";"";"";"";"";
"X1";"DNP";"USB-A003";"USB-A003";"USB connector";"609-4413-ND";"Amphenol";"";"87583-2010BLF";"unknown";"unknown";"";
"Y";"DNP";"TACTILEGBA_SP";"GBA_SP_TACT";"";"";"";"";"";"";"";"";
